地区,经济,工业,服务
万全区,82.2563341,44.61515639,0.364236783
崇礼区,70.56086436,666.9616695,0.446847197
张北县,31.3540762,445.5618371,0.573775223
康保县,42.21392571,360.0662306,0.055062616
沽源县,33.63205338,878.8652745,0.514584366
尚义县,77.13086515,118.5230181,0.52972484
蔚县,30.47073578,159.9407506,0.426419467
阳原县,80.81647943,263.4585488,0.376356484
怀安县,87.08490654,397.8883619,0.639759007
怀来县,34.07053496,827.4184118,0.331269443
涿鹿县,39.03841416,906.9927695,0.350872902
赤城县,80.3218846,414.3782046,0.281764683
承德市,45.63128083,347.0240541,0.396612895
双桥区,99.62931334,178.0602938,0.788170555
双滦区,52.35912093,990.6688964,0.924415439
鹰手营子矿区,57.6265664,665.7237192,0.277815011
承德县,62.4577537,992.0790167,0.639891824
兴隆县,27.11191104,55.89084461,0.206742189
滦平县,27.23593288,842.6209761,0.947090192
隆化县,40.13675305,719.1143439,0.788060023
丰宁满族自治县,72.74833386,491.4963208,0.362047791
宽城满族自治县,65.16102099,352.1240152,0.062259981
围场满族蒙古族自治县,23.21064907,105.0092955,0.449162819
平泉市,25.0380822,289.1995837,0.775985543
沧州市,94.16227819,557.5412797,0.636980066
新华区,12.21703848,420.4331505,0.795422596
运河区,48.46002075,496.8331101,0.464397883
沧县,79.95008837,896.3924027,0.566941278
青县,64.79658843,492.704201,0.389260123
东光县,34.71822484,414.3149991,0.249951562
海兴县,80.0247051,655.0377681,0.472472033
盐山县,95.22329641,786.9587968,0.613247806
肃宁县,30.53200527,137.3271531,0.776027156
南皮县,15.08956613,34.43008313,0.20797122
吴桥县,29.15364247,743.3994002,0.840020669
献县,47.18542471,902.0381113,0.132265635
孟村回族自治县,66.31687178,647.7087843,0.157883109
泊头市,19.7144137,683.5990704,0.411064196
任丘市,55.56366253,337.3962109,0.060178832
黄骅市,54.98183436,428.8575248,0.174900501
河间市,40.33519465,146.8668794,0.595906037
廊坊市,55.19132219,331.1022422,0.29696276
安次区,90.21742901,211.1430352,0.313039979
广阳区,25.01315623,801.9557199,0.570167337
固安县,44.50217338,858.8395263,0.312727275
永清县,11.46598446,74.10413697,0.720751572
香河县,20.94888204,784.5678586,0.254778537
大城县,24.73100621,513.1370917,0.54496743
文安县,76.89608163,809.2327905,0.154814173
大厂回族自治县,15.01207687,964.6278639,0.159332026
霸州市,55.76640227,929.9110346,0.217274896
三河市,34.17032621,505.3832027,0.569467388
衡水市,74.94624149,49.71589035,0.02095569
桃城区,82.63465105,745.9992549,0.48514986
冀州区,36.28069842,145.9729774,0.041415609
枣强县,58.55311525,290.7420458,0.867678633
武邑县,15.30181925,920.1444494,0.146580024
武强县,92.77193344,700.727134,0.613682799
饶阳县,80.42466596,82.90318558,0.63343868
安平县,62.69401305,91.56982156,0.265130238
故城县,81.37584497,348.4547913,0.316710178
景县,91.18825826,932.3164171,0.858119741
阜城县,19.70481608,338.5769684,0.112323403
深州市,55.70710068,701.5713895,0.479121817
山西省,69.33097387,48.14948383,0.907933449
太原市,73.40790505,89.06925492,0.158160444
小店区,14.25853945,592.3538533,0.029975741
迎泽区,25.01862015,62.79881324,0.847481142
杏花岭区,65.93423575,357.5870105,0.27667182
尖草坪区,57.45323961,49.29503721,0.461070242
万柏林区,99.23735894,667.4706261,0.087231811
晋源区,70.13022229,848.6558842,0.775072267
清徐县,11.16225815,552.4785866,0.669251886
阳曲县,18.56903184,958.8182255,0.495761298
娄烦县,85.47777495,75.56216134,0.168750706
古交市,93.91938664,576.3027724,0.97464182
大同市,53.98334843,41.57945457,0.742762226
城区,46.62980832,365.0563637,0.765462536
矿区,57.11852883,293.1467673,0.525731926
南郊区,50.57038089,545.4793799,0.463983477
新荣区,21.4946545,656.0880936,0.31019825
阳高县,94.94820287,341.3710098,0.804611296
天镇县,23.86527689,278.8756127,0.189145757
广灵县,62.59070302,240.3218994,0.846268164
灵丘县,74.64228454,559.4960117,0.762984694
浑源县,66.50219057,439.7493332,0.731307474
左云县,83.20435308,616.2148082,0.422660338
大同县,81.21535735,756.2577128,0.299137764
阳泉市,58.24979128,157.2915618,0.946300807
城区,51.34116441,931.3890681,0.057584114
矿区,84.55798528,806.2607412,0.145246504
郊区,75.5444049,657.6460261,0.519006862
平定县,91.84234546,123.3096056,0.426057585
盂县,75.42489579,822.8181884,0.141874517
长治市,36.82968892,888.5327261,0.8183332
城区,28.52635837,206.1647166,0.151496436
郊区,33.85017817,745.3466821,0.989146705
长治县,26.03160193,125.0267146,0.660778749
襄垣县,80.33697367,555.7241769,0.088841373
屯留县,79.9132034,272.92141,0.410933553
平顺县,14.22284378,506.927525,0.850082592
黎城县,65.7688801,820.0074717,0.970083037
壶关县,73.90516229,97.03675588,0.129872905
长子县,38.48439262,427.4657292,0.738993806
武乡县,13.73444694,323.7143167,0.892696003
沁县,25.8794221,430.0263241,0.106552332
沁源县,15.04715176,229.9412819,0.647038621
潞城市,60.75299709,409.9892551,0.28822007
晋城市,10.22165944,230.4209327,0.972951473
城区,54.66532717,870.1819128,0.514731504
沁水县,60.81721696,304.9244193,0.392418589
阳城县,48.4875169,153.263992,0.765309796
陵川县,49.4611664,858.6912959,0.643800672
泽州县,87.24410263,581.2210895,0.338905002
高平市,35.7450599,924.2747003,0.908314054
朔州市,84.03074653,691.3788697,0.71929624
朔城区,99.8182244,717.3358196,0.798540015
平鲁区,13.12265872,430.6876195,0.885349754
山阴县,67.71367972,557.5216587,0.782429239
应县,39.3060343,903.7452026,0.428872585
右玉县,14.10465468,191.5670979,0.459003029
怀仁县,72.07086586,655.8689185,0.980574847
晋中市,10.17029629,481.7710399,0.662472692
榆次区,92.98725349,69.14748733,0.374962552
榆社县,96.35364496,961.8905908,0.719662284
左权县,35.1820797,437.0978848,0.960326707
和顺县,70.99643035,461.9935338,0.989289425
昔阳县,83.29371899,66.97495734,0.459362881
寿阳县,68.64838938,521.7799285,0.490306881
太谷县,22.86687583,654.6762548,0.452660712
祁县,54.0253306,185.4488401,0.954243955
平遥县,87.51768472,22.85674486,0.057225266
灵石县,97.24435221,588.8841241,0.254824553
介休市,69.94370805,851.8885872,0.684560814
运城市,73.20165443,87.24431629,0.851065205
盐湖区,14.2998875,469.5071238,0.987293702
临猗县,18.03665942,4.358567041,0.426267818
万荣县,92.61541686,371.6967698,0.701925582
闻喜县,80.62946389,812.9379165,0.49855232
稷山县,53.98384739,823.341595,0.372350824
新绛县,16.23332029,869.1116709,0.101747064
绛县,58.36901318,554.5568278,0.437182943
垣曲县,46.91840893,229.9514127,0.035001554
夏县,37.95384231,929.1575809,0.870920022
平陆县,35.57138106,378.5417153,0.866916799
芮城县,62.59443648,801.3770039,0.613479834
永济市,18.13900474,8.123206493,0.587041745
河津市,15.62557913,342.534129,0.591857238
忻州市,47.83069787,267.6534205,0.368238822
忻府区,73.72369916,799.0911884,0.814119371
定襄县,56.8548982,672.9947504,0.641233075
五台县,36.06092536,687.4248848,0.649656931
代县,42.55665952,630.3261272,0.81741033
繁峙县,69.57171237,448.475307,0.502232708
宁武县,88.66847438,125.793768,0.585315391
静乐县,99.52437006,139.0216423,0.299986246
神池县,57.8964433,942.7799743,0.72422567
五寨县,32.59487056,652.7553072,0.675805257
岢岚县,66.31055778,565.4184948,0.102299934
河曲县,78.4773718,30.50322907,0.779373159
保德县,19.62162536,119.9586854,0.144400412
偏关县,83.94418948,802.9444748,0.639410121
原平市,82.56520525,954.7967364,0.245703998
临汾市,67.76983573,537.1459942,0.639938143
尧都区,31.24487148,456.2411279,0.734111309
曲沃县,23.78950222,139.9312469,0.83203869
翼城县,62.74669208,773.208496,0.112319808
襄汾县,41.87974081,411.291963,0.827197791
洪洞县,64.07309487,901.6546182,0.033666431
古县,44.15664616,842.8319726,0.315198096
安泽县,90.21597276,356.2945862,0.429427593
浮山县,99.87712591,572.3134183,0.13006695
吉县,79.55478882,986.641275,0.534972143
乡宁县,13.79078202,959.0067055,0.339460095
大宁县,85.41893943,312.4988748,0.830816826
隰县,90.16439608,608.2886847,0.772134963
永和县,60.1880231,682.9487524,0.169751822
蒲县,73.76940083,780.1226139,0.549346091
汾西县,62.47198353,270.7623901,0.4596324
侯马市,45.7811705,989.8245382,0.447672853
霍州市,13.69735617,994.6625445,0.092211633
吕梁市,98.28109662,845.3734175,0.541079948
离石区,53.46498733,346.7200215,0.458498713
文水县,46.9255523,891.0190547,0.00633236
交城县,63.71146043,745.8094143,0.254477677
兴县,73.11256429,797.3140463,0.517600455
临县,29.18042606,532.3495255,0.183227341
柳林县,63.81680034,709.188178,0.422470843
石楼县,25.14049748,543.6804382,0.896549561
岚县,12.35606672,658.528957,0.872359918
方山县,98.17667848,772.093642,0.930893409
中阳县,77.0570565,585.0086008,0.028837721
交口县,10.5734405,989.694327,0.548523166
孝义市,50.48122084,687.8631392,0.408082844
汾阳市,94.81284885,112.3701446,0.2713205
内蒙古自治区,16.84570237,479.7595706,0.260664812
呼和浩特市,69.46166159,607.4436681,0.082414408
新城区,81.76008283,519.9571466,0.409898591
回民区,72.45150115,609.3752637,0.805570746
玉泉区,97.87835053,692.8341023,0.392926129
赛罕区,62.40274076,43.11737463,0.281720405
土默特左旗,27.59385433,17.00926012,0.130318168
托克托县,37.27839034,337.6114728,0.184814552
和林格尔县,85.10157673,224.3066283,0.474291295
清水河县,39.37008845,605.5461865,0.360285778
武川县,68.96402507,218.8549379,0.972357491
包头市,18.58064818,373.7010533,0.702715686
东河区,45.3764636,959.2987636,0.77008126
昆都仑区,81.99334103,455.0161413,0.92971221
青山区,73.66322147,748.7264916,0.358061724
石拐区,33.66195079,757.9213511,0.69516566
白云鄂博矿区,65.98223769,850.7922108,0.650691501
九原区,46.19923762,365.8734801,0.530406223
土默特右旗,71.29530629,57.35215021,0.449429245
固阳县,14.99635213,641.9396069,0.584636571
达尔罕茂明安联合旗,52.5911004,747.0724999,0.809074601
乌海市,44.94549778,29.01859205,0.042998223
海勃湾区,58.39647987,755.8012684,0.759662197
海南区,80.00423164,707.0955429,0.387138519
乌达区,62.87646089,716.8383935,0.194865892
赤峰市,90.94914239,66.39639105,0.91476724
红山区,85.97817844,87.38969177,0.4650183
元宝山区,52.99420152,9.034908106,0.317004584
松山区,39.95954077,953.0564101,0.075395228
阿鲁科尔沁旗,24.22205766,21.35374363,0.717056453
巴林左旗,66.02267323,78.37991925,0.403102097
巴林右旗,49.80141592,786.571662,0.559900277
林西县,22.62955988,185.5000977,0.725970747
克什克腾旗,36.30735436,831.7423451,0.032110493
翁牛特旗,67.08091272,593.004899,0.65340666
喀喇沁旗,34.736522,634.6170386,0.273384822
宁城县,90.88937165,187.6162821,0.706894212
敖汉旗,50.95083597,588.2520975,0.447077711
通辽市,76.4572995,983.1879822,0.249121107
科尔沁区,94.8771036,603.199848,0.969248992
科尔沁左翼中旗,81.2046081,774.9974532,0.625069292
科尔沁左翼后旗,63.207813,545.926265,0.292594718
开鲁县,88.87076669,636.3369687,0.133082785
库伦旗,58.28827372,692.3242538,0.524229261
奈曼旗,62.48040412,809.8735715,0.928208071
扎鲁特旗,88.65803814,249.1275381,0.467355592
霍林郭勒市,35.00218609,55.68180793,0.942066192
鄂尔多斯市,40.5080188,268.3558192,0.160279478
东胜区,74.62064778,806.5748484,0.142735301
康巴什区,62.23744972,501.1883252,0.731350257
达拉特旗,28.35862579,952.0239184,0.50328331
准格尔旗,16.48710019,334.0093278,0.575478337
鄂托克前旗,72.86367987,600.4144182,0.137013362
鄂托克旗,35.61780426,657.7987617,0.666294279
杭锦旗,15.33226525,945.0462645,0.084508049
乌审旗,88.08305094,170.3537041,0.90559221
伊金霍洛旗,55.18464062,362.4272148,0.15442767
呼伦贝尔市,47.19018577,414.9820296,0.391795396
海拉尔区,25.93105591,731.5574866,0.91673993
扎赉诺尔区,38.47914186,127.101651,0.964695255
阿荣旗,23.43112032,625.9592829,0.131097259
莫力达瓦达斡尔族自治旗,45.34167885,662.5890222,0.527283737
鄂伦春自治旗,65.11519877,662.3294893,0.591275319
鄂温克族自治旗,64.20659477,796.7049748,0.192855317
陈巴尔虎旗,90.04506261,392.4307858,0.329917431
新巴尔虎左旗,44.64839189,420.4311976,0.710729336
新巴尔虎右旗,63.90041786,67.06553285,0.680661095
满洲里市,11.42218879,19.91194399,0.111726201
牙克石市,53.23254871,94.05157971,0.073560712
扎兰屯市,82.78777106,255.0660319,0.05687978
额尔古纳市,27.02843112,827.1482348,0.335749117
根河市,38.03713089,550.0836941,0.251833284
巴彦淖尔市,86.39421693,317.2597189,0.970207875
临河区,25.79715059,6.52681955,0.199073946
五原县,30.87540105,91.28053866,0.927558017
磴口县,39.3711306,106.178405,0.406842476
乌拉特前旗,85.19734585,222.3301745,0.745200548
乌拉特中旗,66.87271733,938.74903,0.463773168
乌拉特后旗,77.0887931,757.3471611,0.810850736
杭锦后旗,57.17833356,964.6969135,0.443467999
乌兰察布市,51.52762341,796.8628454,0.431771223
集宁区,74.67925167,754.993049,0.432676254
卓资县,78.72437212,379.3198733,0.180549018
化德县,14.34137517,724.9310002,0.674290411
商都县,94.56715355,619.0284985,0.790340145
兴和县,89.78619473,192.5893753,0.82251998
凉城县,25.05850511,435.4158943,0.718334993
察哈尔右翼前旗,56.68443353,70.37784139,0.38379922
察哈尔右翼中旗,90.6057926,464.7803981,0.068358684
察哈尔右翼后旗,87.50053244,326.7478299,0.448427868
四子王旗,75.18374319,548.8249269,0.255664927
丰镇市,83.75680866,373.1035334,0.086906049
兴安盟,63.16233888,201.245524,0.311401451
乌兰浩特市,26.26148502,604.4982041,0.141093781
阿尔山市,45.01303408,669.0304436,0.215197045
科尔沁右翼前旗,14.67072566,143.3890553,0.133415735
科尔沁右翼中旗,32.07291519,141.7768821,0.148970216
扎赉特旗,50.36978077,850.5981121,0.967473022
突泉县,91.30597725,211.1504169,0.132017722
锡林郭勒盟,66.90094908,367.7743449,0.97932104
二连浩特市,62.21391613,945.9861907,0.057639943
锡林浩特市,93.17022316,818.5596971,0.981842725
阿巴嘎旗,53.39340652,950.2660573,0.995986675
苏尼特左旗,94.04826431,133.4486185,0.443628057
苏尼特右旗,45.29467989,74.92404196,0.132863393
东乌珠穆沁旗,96.04212259,961.3356213,0.930580867
西乌珠穆沁旗,51.11624291,837.7791965,0.634386579
太仆寺旗,94.35534313,583.850011,0.594079636
镶黄旗,28.93780051,137.7769641,0.941333348
正镶白旗,26.94110679,403.3597956,0.307775437
正蓝旗,50.73412772,93.1928883,0.314119276
多伦县,50.01499419,965.5336537,0.7712647
阿拉善盟,34.91630826,357.2297774,0.574799993
阿拉善左旗,63.74373856,750.0328315,0.81779144
阿拉善右旗,20.98679968,970.2526014,0.85467504
额济纳旗,26.21283386,495.3884307,0.417765609
辽宁省,35.888888,726.1453871,0.772747109
沈阳市,47.34859343,35.88128415,0.779718771
和平区,10.41316962,341.8913631,0.881325743
沈河区,82.76288445,998.5329721,0.608571678
大东区,30.34736736,590.8804753,0.063501037
皇姑区,31.05019235,621.7619655,0.730261726
铁西区,67.89748049,562.1150707,0.329090755
苏家屯区,32.11352778,953.3461054,0.552803314
浑南区,38.21186137,504.3764218,0.534231811
沈北新区,52.41449641,439.6984568,0.593566392
于洪区,57.95185692,900.55867,0.952899382
辽中区,23.35987537,23.38382236,0.334212029
康平县,13.28758991,694.389616,0.941060679
法库县,20.58686881,273.4422671,0.381451827
新民市,58.11657456,977.8175706,0.794420927
大连市,45.47868733,491.0926292,0.43835356
中山区,13.16649455,85.76126291,0.504698652
西岗区,17.44396255,79.69882232,0.002954183
沙河口区,27.71579913,189.742667,0.253446792
甘井子区,21.10888244,183.0664288,0.16694263
旅顺口区,30.78771448,827.1116357,0.565860248
金州区,39.93564465,72.8490986,0.529126665
普兰店区,49.72858153,586.3684779,0.12975016
长海县,53.09079349,222.0179095,0.18379261
瓦房店市,38.42485346,399.2675536,0.134690773
庄河市,39.04814323,295.9474009,0.928464787
鞍山市,35.97539309,986.5296765,0.881206823
铁东区,76.56035189,909.2239242,0.620592419
铁西区,46.96398601,359.9979548,0.282941814
立山区,82.79187777,22.75373113,0.899760156
千山区,71.8805997,134.4306472,0.924343185
台安县,75.72488502,630.9236255,0.99009171
岫岩满族自治县,17.48877765,96.4267117,0.110321368
海城市,71.97586114,225.8416855,0.624029506
抚顺市,40.87083438,406.2200857,0.706876532
新抚区,95.776741,940.0068476,0.496475329
东洲区,44.52648848,349.8416848,0.220723401
望花区,80.46611559,802.3058432,0.739715331
顺城区,66.67068844,66.15722947,0.163173941
抚顺县,45.54419817,695.707894,0.901771005
新宾满族自治县,76.23581293,461.0165839,0.834828348
清原满族自治县,64.43891384,494.4329698,0.175524366
本溪市,25.36113274,662.4567301,0.358046548
平山区,84.50285852,770.1029634,0.457100586
溪湖区,31.86380495,287.3575544,0.013735626
明山区,46.22236246,961.3174153,0.151304142
南芬区,27.04649625,653.1520074,0.176579078
本溪满族自治县,23.17382291,808.5531599,0.943553248
桓仁满族自治县,21.42591768,497.0689047,0.299171927
丹东市,40.54012813,804.206589,0.369540023
元宝区,89.80364398,102.2275614,0.457419174
振兴区,92.31186434,713.0207131,0.323362599
振安区,20.20445179,987.6180891,0.026665144
宽甸满族自治县,48.30204176,640.8505211,0.689441396
东港市,68.47564109,255.8689344,0.400079823
凤城市,47.50593334,979.6389839,0.172758831
锦州市,69.53661409,978.1919126,0.891372269
古塔区,72.65557582,165.7577043,0.226058656
凌河区,44.407422,739.4179495,0.31460798
太和区,87.96517442,696.7983934,0.015507086
黑山县,22.39128087,340.006843,0.343842635
义县,53.70693065,397.703664,0.918138916
凌海市,40.80448516,431.3530178,0.842979979
北镇市,76.80347147,405.3041085,0.39011631
营口市,78.55906303,165.122435,0.348960391
站前区,72.63827849,567.2992408,0.203153991
西市区,12.77740127,628.8579462,0.503611565
鲅鱼圈区,18.64136803,136.6853108,0.455141459
老边区,64.7826169,131.7770589,0.083627975
盖州市,33.76798293,226.0142528,0.511648659
大石桥市,28.18012662,241.5881847,0.9037735
阜新市,59.97890531,235.4783934,0.185892655
海州区,95.2358365,378.9346187,0.372969919
新邱区,63.85956311,549.7689169,0.153222319
太平区,82.07250997,564.4366201,0.514296397
清河门区,57.56192958,451.8230583,0.47473704
细河区,12.6745978,399.5718962,0.008635318
阜新蒙古族自治县,71.56913695,838.0267772,0.889177805
彰武县,55.73446636,74.30176576,0.890258454
辽阳市,45.01752823,965.6511789,0.863973204
白塔区,77.22899587,818.3281668,0.954900554
文圣区,71.20771244,682.8304595,0.933956175
宏伟区,99.20278622,695.9119275,0.122677187
弓长岭区,36.04126818,226.8559599,0.555692422
太子河区,14.58646326,812.820305,0.368977141
辽阳县,38.5376345,834.6162527,0.299932477
灯塔市,28.13813013,795.8232828,0.981923778
盘锦市,39.71924376,119.9753612,0.024197262
双台子区,24.59758578,866.7170588,0.792868725
兴隆台区,74.09852033,389.6567219,0.207452753
大洼区,36.41761825,924.4695387,0.214852335
盘山县,20.166189,146.8491937,0.605787624
铁岭市,10.79681436,510.0646164,0.305285012
银州区,43.72766161,29.2625729,0.725807538
清河区,82.88853995,812.1338776,0.593416296
铁岭县,20.41220636,562.139927,0.67777592
西丰县,66.82915179,920.3455138,0.56994147
昌图县,94.23328651,678.7059324,0.601887992
调兵山市,14.04981793,698.4885835,0.251829203
开原市,65.06609541,532.130551,0.49560704
朝阳市,71.14546607,666.8787015,0.044999678
双塔区,81.226189,546.0068943,0.876128816
龙城区,40.79257329,989.7982938,0.305469921
朝阳县,61.49578065,114.2923878,0.815099931
建平县,85.55264549,648.188118,0.412041599
喀喇沁左翼蒙古族自治县,99.41036671,88.18651705,0.641314637
北票市,14.88913105,4.198941997,0.173738041
凌源市,50.21905359,582.6882447,0.302095011
葫芦岛市,75.40132861,498.8669572,0.599285867
连山区,30.52373305,969.8330864,0.252376469
龙港区,80.21968237,224.121868,0.776251427
南票区,84.17802518,122.7677361,0.108499183
绥中县,61.02924309,484.8925128,0.231680439
建昌县,10.79255424,269.3370246,0.013457429
兴城市,67.54055995,514.2791062,0.833134571
吉林省,23.76581522,431.6070567,0.151655148
长春市,94.55903786,630.1842158,0.845155434
南关区,14.90265653,434.0798935,0.834981933
宽城区,34.26887409,149.1014656,0.636245184
朝阳区,24.16654677,171.5026324,0.57972361
二道区,42.55417774,164.3308488,0.284044091
绿园区,23.91820096,532.7318268,0.713074179
双阳区,67.66802994,28.13740758,0.240391002
九台区,81.43975331,922.9616067,0.535504244
农安县,76.06596908,202.2161662,0.995006016
榆树市,86.79104675,507.5408369,0.669328163
德惠市,18.64925198,729.0423342,0.271521912
吉林市,57.10959689,3.044934565,0.329952642
昌邑区,52.01627816,183.1745715,0.124255208
龙潭区,41.94017524,662.9771871,0.835731311
船营区,60.6521566,371.2468419,0.766480788
丰满区,70.10673335,327.0248257,0.712027794
永吉县,63.6054255,976.2095103,0.519571926
蛟河市,20.95783872,896.0667083,0.870553027
桦甸市,23.70167622,545.9077422,0.715208521
